ecoregion,t.trend,SE,df,asymp.LCL,asymp.UCL,type
AZ/NM Highlands,0.006714223358421543,0.004388438035239219,Inf,-0.001886957139033041,0.015315403855876129,Annual
E Cold Deserts,0.008566944655204231,0.0016450930504319779,Inf,0.00534262152514042,0.011791267785268043,Annual
Forested Mts,0.01139343369480178,0.001480722321475647,Inf,0.008491271273604974,0.014295596115998586,Annual
Mediterranean California,0.006452513680443244,0.0064547548356989025,Inf,-0.006198573326562355,0.019103600687448843,Annual
N Great Plains,0.025562956466530354,0.0024441577585328344,Inf,0.020772495287271854,0.030353417645788854,Annual
S Great Plains,0.010270223779814978,0.004003313534799538,Inf,0.0024238734327861507,0.018116574126843806,Annual
W Cold Deserts,0.026141395676740706,0.0016292556638581905,Inf,0.022948113253970757,0.029334678099510656,Annual
Warm Deserts,0.010204960892806675,0.0029242693563882884,Inf,0.004473498273191507,0.015936423512421843,Annual
AZ/NM Highlands,-0.0038697985821765676,0.0033614949755670694,Inf,-0.010458207668500372,0.0027186105041472363,Bare
E Cold Deserts,-0.003507274357992433,0.0012585728724421904,Inf,-0.005974031859898249,-0.0010405168560866165,Bare
Forested Mts,-0.002889156649271451,0.0011621564267659476,Inf,-0.005166941390134469,-6.113719084084334e-4,Bare
Mediterranean California,0.002012911954265124,0.005048999670339264,Inf,-0.007882945557554437,0.011908769466084686,Bare
N Great Plains,-0.01742069509427298,0.0019200460251746028,Inf,-0.02118391615227449,-0.013657474036271475,Bare
S Great Plains,0.00249436799665036,0.002849581970274941,Inf,-0.0030907100360832098,0.00807944602938393,Bare
W Cold Deserts,-0.012773853052991321,0.0012671591739067296,Inf,-0.015257439396528037,-0.010290266709454605,Bare
Warm Deserts,-0.0020827720775603896,0.002238493208271924,Inf,-0.006470138145410877,0.002304593990290098,Bare
AZ/NM Highlands,-0.007617572630408295,0.003303092540084124,Inf,-0.014091515046576101,-0.0011436302142404896,Perennial
E Cold Deserts,-0.008248983528108114,0.0012632472342461757,Inf,-0.010724902610800452,-0.005773064445415777,Perennial
Forested Mts,-0.009328194360210727,0.001119748176006505,Inf,-0.011522860456937893,-0.007133528263483561,Perennial
Mediterranean California,-0.043356318438464145,0.005380490975173663,Inf,-0.053901886968947314,-0.032810749907980975,Perennial
N Great Plains,-0.003213633604053575,0.0019502027564654177,Inf,-0.0070359607692765305,6.086935611693809e-4,Perennial
S Great Plains,-0.01220527388127745,0.0028539523861405213,Inf,-0.01779891777170502,-0.0066116299908498795,Perennial
W Cold Deserts,-0.00644682866931351,0.0012635950342473415,Inf,-0.008923429427481954,-0.003970227911145065,Perennial
Warm Deserts,-0.01939292233249029,0.002226052400459055,Inf,-0.023755904865088967,-0.015029939799891609,Perennial
AZ/NM Highlands,9.275633820745364e-4,0.002949810153132387,Inf,-0.004853958279295523,0.006709085043444595,Shrub
E Cold Deserts,-0.0015999751860422255,0.0010962296267739429,Inf,-0.003748545773304938,5.485954012204872e-4,Shrub
Forested Mts,-5.699084946172605e-4,0.0010048916663004976,Inf,-0.0025394599689306774,0.0013996429796961567,Shrub
Mediterranean California,0.0074247611311113034,0.004457780514339775,Inf,-0.0013123281279790915,0.0161618503902017,Shrub
N Great Plains,0.003664954882611116,0.0016662891738295322,Inf,3.990881140762321e-4,0.006930821651146,Shrub
S Great Plains,0.005337383287040061,0.0024864235805579574,Inf,4.6408261883533995e-4,0.010210683955244782,Shrub
W Cold Deserts,-0.007014188087670086,0.0011082010297412753,Inf,-0.009186222193593186,-0.004842153981746986,Shrub
Warm Deserts,9.606670055437032e-4,0.0019639651532303275,Inf,-0.0028886339616794265,0.004809967972766832,Shrub
AZ/NM Highlands,-0.004192979575836164,0.0052945403921437215,Inf,-0.014570088059130432,0.006184128907458103,Tree
E Cold Deserts,0.017937896861046413,0.002300637958510838,Inf,0.013428729320899417,0.022447064401193408,Tree
Forested Mts,0.012780950346821106,0.0018523521488588478,Inf,0.009150406848372388,0.016411493845269826,Tree
Mediterranean California,-0.003105568458884332,0.008819210027252061,Inf,-0.020390902484392875,0.01417976556662421,Tree
N Great Plains,0.021859538778111583,0.00401029907035093,Inf,0.013999497032989302,0.029719580523233865,Tree
S Great Plains,0.015114036248409707,0.00677763645027574,Inf,0.0018301129055633622,0.02839795959125605,Tree
W Cold Deserts,0.015519603028071687,0.0029969745851877675,Inf,0.009645640778521796,0.02139356527762158,Tree
Warm Deserts,-0.0032824207673501837,0.0044596875243505234,Inf,-0.012023247697379804,0.005458406162679436,Tree
AZ/NM Highlands,0.006892667477753596,0.007331518879727374,Inf,-0.007476845478487498,0.02126218043399469,afgNPP
E Cold Deserts,0.02952546683083553,0.0026657396855956773,Inf,0.024300713054908878,0.03475022060676218,afgNPP
Forested Mts,0.030096629366255078,0.002405598795495703,Inf,0.025381742365830566,0.03481151636667959,afgNPP
Mediterranean California,0.007780564165914445,0.00997921951006213,Inf,-0.011778346667626768,0.02733947499945566,afgNPP
N Great Plains,0.04331033230041853,0.0038717403677554193,Inf,0.035721860622128045,0.050898803978709016,afgNPP
S Great Plains,0.026454915722037068,0.007140864213799656,Inf,0.012459079044498817,0.04045075239957532,afgNPP
W Cold Deserts,0.045897464075751127,0.002559690388574579,Inf,0.04088056310257161,0.05091436504893064,afgNPP
Warm Deserts,0.018049835975517417,0.004542360392619653,Inf,0.009146973201181678,0.026952698749853156,afgNPP
AZ/NM Highlands,-0.0058108361557104565,0.004844005931158525,Inf,-0.015304913321679572,0.003683241010258659,pfgNPP
E Cold Deserts,-0.010644824951719489,0.001899473191186722,Inf,-0.014367723996044827,-0.00692192590739415,pfgNPP
Forested Mts,-0.007387185760083749,0.0016612941444884843,Inf,-0.010643262451008459,-0.004131109069159039,pfgNPP
Mediterranean California,-0.08322108857471805,0.007867246572816379,Inf,-0.09864060851493432,-0.06780156863450178,pfgNPP
N Great Plains,0.0037356604725090545,0.0029665917072483738,Inf,-0.0020787524305329484,0.009550073375551058,pfgNPP
S Great Plains,-0.010265379840834562,0.004278215999043394,Inf,-0.01865052911704266,-0.0018802305646264637,pfgNPP
W Cold Deserts,-0.00400948752883807,0.0019042724804385989,Inf,-0.007741793007248477,-2.77182050427662e-4,pfgNPP
Warm Deserts,-0.02104367747476786,0.003572504522403965,Inf,-0.028045657673286095,-0.014041697276249624,pfgNPP
