ecoregion,type,early 90s,late 10s,prop_change
AZ/NM Highlands,afgNPP,57.46073329109719,79.33638929953055,0.3807061754261099
E Cold Deserts,afgNPP,17.51612468382499,55.099648573460485,2.1456529094213086
Forested Mts,afgNPP,36.81650625760403,94.37896707301326,1.563496014875674
Mediterranean California,afgNPP,1202.0425421633415,1867.0942294709052,0.5532680117216617
N Great Plains,afgNPP,76.66491861085561,241.04819990490455,2.144178644843335
S Great Plains,afgNPP,71.55178931319047,230.84789150202883,2.2263049424463848
W Cold Deserts,afgNPP,87.22416925039316,335.72884580701765,2.8490346046546535
Warm Deserts,afgNPP,65.68965864409574,84.88678523571552,0.2922397069473162
AZ/NM Highlands,pfgNPP,528.4274268756633,518.0376488661968,-0.019661693320682093
E Cold Deserts,pfgNPP,603.8594734602682,533.9491190177091,-0.11577255556156964
Forested Mts,pfgNPP,1131.7306225217485,1018.560365782584,-0.09999752104170861
Mediterranean California,pfgNPP,666.9606486233017,89.72105793092987,-0.8654777337821558
N Great Plains,pfgNPP,1596.6325349384326,1709.7936509641393,0.07087486541170239
S Great Plains,pfgNPP,1246.2588863911485,1052.0892360149255,-0.15580201874306335
W Cold Deserts,pfgNPP,719.0554428955764,768.4334923936548,0.06867071237127005
Warm Deserts,pfgNPP,385.45602963257386,193.65682521082357,-0.4975903596697605
