scale,var1,vcov,sdcor,type,measure,ngrps,type_label,bar_lab,y_pos,extraction_number
pixel,t,8.776741008724007e-5,0.00936842623321762,AFG,production,11715,AFG production,17%,4.388370504362004e-5,4
allotment,t,2.721237869772337e-4,0.016496174919575557,AFG,production,1717,AFG production,52%,2.2382930357585693e-4,4
office,t,1.5962225598887102e-4,0.0126341701741298,AFG,production,129,AFG production,31%,4.397023250589093e-4,4
pixel,t,1.3803012983789768e-4,0.011748622465544532,Annual,cover,12780,Annual cover,40%,6.901506491894884e-5,4
allotment,t,1.4570300168747404e-4,0.012070749839486942,Annual,cover,1848,Annual cover,42%,2.1088163068163474e-4,4
office,t,6.137573527766382e-5,0.00783426673516187,Annual,cover,138,Annual cover,18%,3.144209991642036e-4,4
pixel,t,1.1155837958111149e-4,0.010562120032508223,Bare,cover,14660,Bare cover,49%,5.5779189790555744e-5,4
allotment,t,7.904938817779207e-5,0.00889097228528984,Bare,cover,1969,Bare cover,35%,1.5108307367000753e-4,4
office,t,3.841233641302816e-5,0.006197768664045808,Bare,cover,137,Bare cover,17%,2.0981393596541766e-4,4
pixel,t,1.1184850431843896e-4,0.010575845324059868,Perennial,cover,15117,Perennial cover,54%,5.592425215921948e-5,4
allotment,t,5.245146848178315e-5,0.0072423386058498495,Perennial,cover,2000,Perennial cover,26%,1.380742385593305e-4,4
office,t,4.1166778940108085e-5,0.006416134267618476,Perennial,cover,139,Perennial cover,20%,1.8488336227027614e-4,4
pixel,t,1.1726903016923536e-4,0.01082908260977057,PFG,production,15002,PFG production,41%,5.863451508461768e-5,4
allotment,t,7.073559772256305e-5,0.00841044575052732,PFG,production,1987,PFG production,25%,1.526368290305169e-4,4
office,t,9.936206893299628e-5,0.009968052414238013,PFG,production,136,PFG production,35%,2.3768566235829656e-4,4
pixel,t,1.2521190776741464e-4,0.011189812677941247,Shrub,cover,15116,Shrub cover,58%,6.260595388370732e-5,4
allotment,t,6.184462093256624e-5,0.007864135103911062,Shrub,cover,1999,Shrub cover,29%,1.5613421823369776e-4,4
office,t,2.8454410570888467e-5,0.005334267575861607,Shrub,cover,137,Shrub cover,13%,2.012837339854251e-4,4
pixel,t,4.897630680080985e-4,0.02213059122590489,Tree,cover,5076,Tree cover,59%,2.448815340040493e-4,4
allotment,t,2.619180299584301e-4,0.016183881795120418,Tree,cover,869,Tree cover,32%,6.207220829873136e-4,4
office,t,7.951253604306586e-5,0.00891698020874028,Tree,cover,106,Tree cover,10%,7.914373659880616e-4,4
